Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
272.txt	1	3717	22.27	48.06	89.31	73.05	1858.50	11.00	92.31	60.43	18.35	11.19	6.59	1.43	2.37	0.30	0.51	7.10	6.21	12.48	11.08	9.87	9.17	1.40	21.36	4.17	2.45	1.08	1.37	2.85	4.22	3.36	0.83	0.19	0.30	0.13	7.32	0.03	0.24	0.16	0.40	11.27	1.96	1.00	0.89	2.72	1.96	3.61	2.96	1.99	0.48	0.46	2.15	0.73	0.48	0.08	0.81	6.65	2.10	0.81	2.02	1.91	0.16	3.85	15.50	2.58	17.49	3.55	7.80	6.32	1.10	1.51	0.46	0.40	0.08	0.13	1.59	0.00	0.22	0.70	0.35	0.24	5.97	0.05	0.00	0.03	0.00	0.00	0.00	0.46	0.00	5.41	0.00	0.03
266.txt	1	1902	19.60	23.73	79.63	82.99	1902.00	10.41	91.64	58.99	19.77	12.36	9.15	0.95	1.47	0.42	0.37	7.41	5.52	12.25	10.46	9.20	9.10	1.74	19.82	3.89	3.05	1.31	1.31	3.89	4.78	4.00	0.79	0.11	0.05	0.00	5.10	0.11	0.05	0.47	0.11	12.83	1.89	1.52	1.95	3.15	1.95	3.73	3.73	1.74	0.16	1.16	4.94	0.58	0.37	0.00	3.89	4.89	1.47	0.53	0.95	1.84	0.21	3.94	13.77	2.47	13.56	2.00	5.57	5.99	0.53	1.31	0.21	0.21	0.00	0.00	1.79	0.05	0.79	0.32	0.58	0.00	6.10	0.00	0.00	0.05	0.00	0.00	0.00	0.21	0.00	5.84	0.00	0.00
299.txt	1	1131	19.15	63.15	67.33	90.97	1131.00	10.52	94.08	60.83	18.39	11.94	6.10	2.21	2.39	0.71	0.53	6.45	5.84	12.56	12.47	9.73	9.20	1.33	21.75	4.24	2.92	1.06	1.41	2.03	5.57	4.77	0.80	0.18	0.00	0.44	10.52	1.15	0.27	0.62	1.86	13.26	1.50	1.86	0.97	3.54	2.12	4.33	3.18	1.41	0.80	0.71	2.30	0.44	0.44	0.00	1.06	8.40	3.80	0.97	1.59	2.21	0.00	3.89	14.32	2.65	13.44	2.83	6.37	4.95	0.44	2.12	0.44	0.71	0.00	0.09	3.27	0.00	0.27	1.33	1.33	0.27	6.37	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	6.19	0.00	0.00
201.txt	1	4274	21.96	50.84	75.08	70.66	2137.00	11.79	90.31	58.68	18.86	11.37	6.32	1.50	2.43	0.58	0.54	7.49	5.69	11.96	10.88	8.84	8.80	1.59	20.29	5.62	3.42	1.78	1.80	2.06	4.82	3.58	1.19	0.09	0.09	0.37	8.17	0.26	1.05	0.47	1.33	10.88	1.59	1.36	1.22	2.69	1.24	3.81	3.98	2.20	0.26	1.10	2.48	0.91	0.42	0.00	0.91	6.22	2.29	0.91	1.31	1.75	0.23	3.93	14.25	2.34	15.14	2.85	6.72	5.97	0.58	1.24	1.24	0.54	0.02	0.05	1.80	0.16	0.23	0.61	0.66	0.12	5.92	0.05	0.00	0.05	0.00	0.00	0.00	0.33	0.00	5.50	0.00	0.00
215.txt	1	1140	18.29	86.93	69.87	85.56	1140.00	8.51	92.98	57.28	18.60	11.93	4.47	2.28	4.47	0.18	0.53	6.67	6.05	10.61	10.70	11.23	8.42	0.88	20.18	3.95	2.02	1.49	1.67	2.54	4.47	3.95	0.53	0.00	0.18	0.18	11.58	0.35	0.79	0.18	0.88	8.07	1.49	1.67	1.14	2.19	0.61	1.75	5.00	2.19	2.02	0.88	1.67	0.96	0.35	0.00	0.26	8.33	3.77	0.88	1.84	2.02	0.09	4.91	13.42	2.37	17.72	3.77	10.00	4.56	0.35	2.89	1.58	0.18	0.18	0.00	4.39	0.00	0.79	2.28	1.40	0.09	6.49	0.00	0.00	0.09	0.00	0.00	0.00	0.18	0.00	6.14	0.00	0.09
229.txt	1	2007	16.24	59.65	70.98	77.19	2007.00	11.06	90.98	58.15	20.73	11.46	5.73	3.04	1.05	0.40	1.25	9.22	5.78	10.46	10.26	8.62	9.62	1.30	22.12	3.99	2.39	1.20	1.59	2.39	4.78	3.79	1.00	0.20	0.20	0.15	8.82	0.70	0.35	0.35	0.70	12.51	2.29	1.59	1.59	3.14	1.44	3.44	3.54	1.84	0.50	0.75	2.79	0.90	0.20	0.05	1.49	9.07	3.54	1.30	2.34	2.29	0.15	2.89	16.39	3.34	14.85	3.49	7.42	4.04	1.05	1.25	0.60	1.35	0.00	0.10	1.94	0.00	1.35	0.30	0.25	0.00	7.37	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	6.83	0.00	0.05
76.txt	1	1227	15.62	64.63	73.54	87.35	1227.00	9.70	91.44	57.62	21.03	14.02	8.15	2.77	2.36	0.33	0.41	6.93	5.22	10.27	11.90	7.25	8.31	1.63	22.58	4.40	2.12	2.04	0.73	2.12	5.38	4.40	0.81	0.49	0.00	0.24	10.43	0.57	1.55	0.41	1.39	9.37	2.12	1.39	1.71	1.55	0.81	1.96	3.50	1.96	0.08	1.14	2.69	0.98	0.08	0.08	1.14	8.80	4.40	0.49	1.14	3.02	0.00	3.99	15.24	3.26	14.59	3.02	5.70	6.03	0.57	1.55	0.98	0.33	0.08	0.00	2.28	0.08	0.24	1.06	0.98	0.00	6.36	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	6.28	0.00	0.00
188.txt	1	5266	20.24	30.47	87.41	84.19	5266.00	10.35	90.03	58.03	19.65	13.03	9.25	0.80	1.63	0.99	0.36	6.61	5.15	12.32	10.86	8.58	9.30	1.23	20.39	3.78	1.88	1.10	1.58	2.37	4.42	3.84	0.53	0.11	0.13	0.09	6.59	0.47	0.28	1.01	0.57	9.67	1.20	1.39	1.20	2.47	0.78	3.61	2.81	1.56	0.38	0.51	2.72	0.70	0.28	0.04	1.54	6.51	1.77	1.20	1.67	2.11	0.13	3.93	14.11	2.75	16.01	3.57	6.32	6.51	1.60	1.65	0.57	0.57	0.06	0.00	1.31	0.04	0.25	0.47	0.51	0.08	7.05	0.00	0.00	0.09	0.00	0.00	0.00	0.27	0.00	6.65	0.00	0.04
62.txt	1	1419	30.36	93.14	37.56	93.74	1419.00	10.71	90.27	53.63	19.66	12.26	2.96	4.72	3.10	0.42	1.06	7.40	6.27	10.15	11.42	6.84	4.65	1.55	22.97	3.95	2.47	1.83	2.04	2.40	5.07	4.72	0.35	0.07	0.07	0.28	13.74	0.00	0.49	0.49	0.63	10.01	1.48	2.33	1.27	2.18	1.41	2.04	2.96	1.48	0.35	0.42	3.31	0.28	0.00	0.00	3.03	12.90	6.34	1.76	2.75	3.81	0.07	3.66	16.77	2.18	14.31	2.96	6.48	5.14	1.13	1.90	0.70	0.35	0.00	0.00	4.37	0.14	1.27	1.90	1.13	0.00	7.26	0.07	0.00	0.00	0.00	0.00	0.00	0.21	0.00	6.98	0.00	0.00
89.txt	1	2941	21.48	60.99	73.99	81.06	2941.00	10.74	91.16	59.30	19.31	12.85	6.56	2.96	1.84	1.05	0.44	6.46	4.96	12.14	10.98	8.67	8.57	1.12	22.14	3.98	3.26	1.26	1.02	2.41	5.03	4.05	0.99	0.14	0.51	0.14	9.32	0.10	0.34	1.19	0.44	11.90	2.92	0.85	1.84	2.69	1.16	3.33	2.86	1.73	0.44	0.68	2.14	0.78	0.31	0.14	0.78	7.75	3.64	0.65	1.84	2.01	0.00	5.44	14.38	2.48	14.93	2.82	6.60	5.85	0.82	1.73	0.61	0.68	0.07	0.03	2.07	0.31	0.10	1.16	0.51	0.03	5.24	0.03	0.00	0.00	0.00	0.00	0.00	0.07	0.00	5.13	0.00	0.00
177.txt	1	3385	20.99	66.37	58.40	91.28	846.25	11.96	91.73	58.17	19.73	11.34	5.41	1.60	2.81	0.83	0.71	8.39	5.17	11.88	10.78	7.95	8.30	2.07	20.30	4.19	2.60	1.95	1.15	2.36	6.38	5.20	1.18	0.24	0.47	0.15	10.84	0.53	0.30	1.03	0.41	11.70	2.22	1.51	1.15	2.95	1.54	3.43	3.81	1.18	1.00	1.39	2.04	0.80	0.35	0.00	0.65	8.09	3.37	0.83	2.04	2.25	0.27	3.43	14.71	1.80	13.21	2.69	5.67	5.02	1.03	1.74	0.59	0.38	0.18	0.03	2.54	0.12	0.15	0.89	1.27	0.12	6.68	0.15	0.00	0.09	0.00	0.00	0.00	0.41	0.00	6.03	0.00	0.00
163.txt	1	205	27.72	87.91	76.66	93.87	205.00	10.73	93.17	62.44	19.51	12.68	4.88	3.41	3.41	0.98	0.00	6.83	6.83	13.17	9.76	11.71	7.32	0.49	18.54	5.37	2.93	1.95	1.95	1.95	6.34	5.37	0.98	0.00	0.00	0.98	14.15	2.44	1.46	0.49	0.49	9.27	0.00	0.00	1.46	4.39	0.98	3.90	0.98	0.49	0.49	0.00	0.98	0.00	0.49	0.00	0.49	11.71	6.83	0.98	1.46	3.90	0.49	5.85	10.73	2.44	19.02	2.93	6.83	10.24	0.49	1.46	0.49	0.00	0.00	0.00	0.98	0.00	0.00	0.49	0.00	0.49	4.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.88	0.00	0.00
361.txt	1	1118	28.52	44.32	83.46	92.66	1118.00	12.97	91.77	57.78	20.13	12.70	9.21	0.36	2.50	0.09	0.54	7.42	5.99	12.88	9.93	7.78	8.50	0.98	21.47	4.29	2.95	1.43	0.63	3.40	5.46	4.83	0.63	0.18	0.18	0.00	8.05	0.09	1.43	0.00	1.52	11.72	1.43	2.15	1.16	3.13	2.59	2.15	3.94	1.88	0.09	1.70	2.95	1.79	0.36	0.00	0.09	5.81	1.61	1.43	1.34	1.79	0.09	2.15	16.82	3.40	15.30	4.38	5.72	5.99	1.25	0.81	0.45	0.36	0.09	0.00	2.06	0.00	0.81	0.81	0.36	0.00	5.10	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	4.92	0.00	0.00
349.txt	1	1607	11.73	24.67	87.42	81.75	1607.00	9.77	92.28	62.04	20.47	13.13	9.83	0.75	1.31	0.93	0.31	7.34	4.73	12.57	12.57	9.52	10.45	1.43	23.40	3.36	2.99	1.93	0.19	1.74	4.36	3.73	0.62	0.06	0.19	0.06	5.60	0.12	0.44	0.44	0.93	11.20	1.62	1.87	1.37	2.92	1.24	3.17	2.30	1.06	0.37	0.37	3.92	1.62	0.31	0.06	1.93	6.66	1.37	1.12	2.12	2.68	0.12	4.11	16.18	3.73	15.56	4.17	6.53	5.10	0.93	1.31	0.25	0.62	0.12	0.00	2.92	0.06	0.93	0.93	0.87	0.12	6.66	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	6.29	0.00	0.06
348.txt	1	1884	9.89	89.27	38.63	62.02	1884.00	9.02	92.36	60.99	24.20	15.61	4.88	5.20	3.66	1.06	0.80	8.60	3.45	11.41	10.88	7.59	7.75	2.97	22.61	4.25	4.46	1.49	1.22	1.75	6.26	4.09	2.18	0.21	0.48	0.74	15.87	0.16	1.22	0.74	1.54	12.37	2.02	1.75	1.86	2.71	1.17	4.35	3.03	1.65	1.01	0.32	2.02	0.32	0.48	0.00	0.80	10.56	6.00	1.06	1.33	2.23	0.48	4.30	16.56	1.96	10.93	2.02	4.56	4.41	0.64	1.27	0.27	0.21	0.11	0.11	3.72	0.11	1.38	1.33	1.01	0.00	7.48	0.00	0.00	0.21	0.00	0.00	0.00	0.27	0.00	7.01	0.00	0.00
360.txt	1	1268	21.17	60.89	43.58	61.67	634.00	12.30	87.70	54.73	19.56	12.38	6.78	1.34	2.05	1.74	0.47	7.18	4.57	10.96	11.83	5.21	9.38	1.26	21.29	3.47	1.74	1.58	1.42	2.37	3.94	2.92	1.03	0.24	0.32	0.08	9.46	0.08	0.87	0.79	1.74	9.23	0.79	2.29	1.03	3.08	0.87	1.74	2.68	1.42	0.47	0.32	4.81	0.95	0.39	0.39	3.08	7.73	3.08	1.58	1.74	2.29	0.08	3.63	14.75	2.60	13.49	4.02	5.52	4.02	0.87	1.10	0.79	0.24	0.08	0.08	2.52	0.32	0.95	0.63	0.55	0.00	6.39	0.16	0.00	0.00	0.00	0.00	0.00	0.08	0.00	6.15	0.00	0.00
162.txt	1	838	41.50	90.52	39.80	81.63	838.00	10.26	90.45	59.55	17.90	10.02	2.03	5.49	1.91	0.00	0.60	7.88	5.61	15.51	11.22	7.88	7.52	0.12	22.08	3.58	3.46	2.27	1.43	3.70	3.10	3.10	0.00	0.00	0.00	0.00	10.02	0.00	0.24	0.00	0.24	10.86	1.67	1.43	2.15	3.82	0.36	2.15	2.03	1.19	0.24	0.60	0.72	0.24	0.00	0.00	0.36	10.86	6.68	1.07	0.95	2.15	0.00	2.03	16.23	2.51	15.75	2.86	8.47	5.01	1.19	1.67	1.67	0.12	0.00	0.12	1.91	0.00	0.00	1.43	0.24	0.00	4.89	0.00	0.00	0.12	0.00	0.00	0.00	0.12	0.00	4.65	0.00	0.00
88.txt	1	3230	21.63	61.11	73.15	72.18	1615.00	8.92	91.18	60.65	21.27	13.72	7.12	0.99	4.12	0.77	0.71	7.55	6.97	11.27	11.36	8.17	6.97	1.95	21.02	3.41	2.69	1.55	1.76	1.49	4.24	3.31	0.84	0.22	0.06	0.25	10.31	0.19	0.12	0.74	0.28	11.49	2.14	1.33	2.11	2.51	1.98	3.47	3.75	2.07	0.90	0.50	1.27	0.68	0.25	0.03	0.15	5.60	2.04	1.30	1.15	1.76	0.09	3.93	14.89	1.86	14.86	3.31	6.69	5.08	1.27	1.76	0.50	0.15	0.12	0.00	2.26	0.06	0.22	0.87	0.84	0.28	5.67	0.06	0.00	0.00	0.00	0.00	0.00	0.34	0.00	5.26	0.00	0.00
