Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
4.txt	1	45	6.04	18.71	82.75	99.00	45.00	13.33	95.56	64.44	20.00	6.67	6.67	0.00	0.00	0.00	0.00	8.89	4.44	11.11	11.11	17.78	8.89	0.00	22.22	11.11	2.22	2.22	0.00	0.00	8.89	8.89	0.00	0.00	0.00	0.00	2.22	0.00	0.00	0.00	0.00	13.33	0.00	2.22	2.22	4.44	0.00	4.44	2.22	0.00	2.22	0.00	2.22	0.00	0.00	0.00	2.22	8.89	0.00	2.22	4.44	2.22	0.00	8.89	8.89	2.22	17.78	4.44	11.11	2.22	0.00	2.22	0.00	0.00	0.00	0.00	2.22	0.00	2.22	0.00	0.00	0.00	4.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.44	0.00	0.00
180.txt	1	44	87.28	50.00	74.76	94.75	44.00	22.73	81.82	47.73	11.36	9.09	4.55	0.00	2.27	0.00	2.27	2.27	6.82	18.18	6.82	6.82	2.27	2.27	20.45	4.55	0.00	2.27	2.27	2.27	13.64	9.09	4.55	0.00	4.55	0.00	11.36	0.00	2.27	0.00	2.27	11.36	0.00	0.00	0.00	2.27	2.27	6.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.36	2.27	0.00	4.55	4.55	0.00	6.82	11.36	0.00	13.64	6.82	4.55	2.27	0.00	4.55	0.00	0.00	0.00	2.27	2.27	0.00	0.00	2.27	0.00	0.00	6.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.82	0.00	0.00
194.txt	1	136	69.82	30.33	61.77	88.25	136.00	10.29	83.82	53.68	11.76	10.29	6.62	0.74	0.74	0.74	1.47	1.47	11.03	12.50	7.35	7.35	8.82	1.47	13.24	7.35	3.68	0.74	1.47	2.21	5.15	4.41	0.74	0.00	0.00	0.74	5.88	0.00	0.00	1.47	0.00	6.62	0.00	0.00	1.47	0.74	0.74	4.41	3.68	2.21	0.74	0.74	4.41	1.47	0.00	0.00	2.94	2.21	0.74	0.74	0.74	0.00	0.00	5.15	6.62	0.74	13.97	5.15	7.35	1.47	0.00	2.94	0.00	0.74	1.47	0.00	2.21	0.00	0.74	1.47	0.00	0.00	3.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.68	0.00	0.00
221.txt	1	185	13.91	33.27	64.59	83.44	185.00	4.86	89.19	60.00	23.78	9.73	7.03	0.54	1.62	0.00	0.54	14.05	4.86	10.81	12.43	4.32	9.19	1.62	21.62	3.24	3.24	0.00	0.54	1.08	5.41	4.32	1.08	0.00	0.00	0.54	4.86	0.00	0.54	0.00	0.54	7.57	2.16	0.00	0.54	2.16	0.00	2.70	5.95	2.70	0.54	1.08	4.86	1.62	0.00	0.00	2.16	5.41	1.62	0.54	1.08	2.16	0.00	2.70	15.68	3.78	11.89	2.70	5.41	3.78	0.54	0.00	0.00	0.54	0.00	0.00	1.62	0.00	0.54	0.54	0.54	0.00	5.95	0.00	0.00	0.00	0.00	0.00	0.00	0.54	0.00	5.41	0.00	0.00
223.txt	1	150	5.16	50.00	56.63	91.14	150.00	8.00	94.00	66.00	24.67	14.67	8.00	0.00	2.67	0.00	4.00	10.00	1.33	14.67	12.00	10.67	11.33	0.67	23.33	4.67	2.00	1.33	0.00	0.00	6.67	5.33	1.33	0.00	0.00	0.00	7.33	0.00	0.00	0.00	0.67	7.33	2.00	0.67	0.67	4.00	0.00	1.33	4.00	2.67	0.00	1.33	4.67	4.67	0.00	0.00	0.00	4.67	0.00	2.67	0.67	0.67	0.67	1.33	18.67	3.33	11.33	4.00	3.33	4.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33	0.00	0.00	0.67	0.67	0.00	4.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.67	0.00	0.00
68.txt	1	292	10.12	19.61	96.44	20.58	292.00	13.70	90.41	61.64	20.55	14.73	12.33	0.00	1.03	1.03	0.34	5.82	4.45	12.33	11.64	12.67	8.22	2.05	17.47	3.77	5.48	2.74	1.03	3.42	4.45	2.05	2.40	1.71	0.00	0.00	7.88	0.00	0.00	0.68	0.34	13.36	3.42	4.45	0.68	1.71	0.68	3.08	2.74	0.68	1.37	0.68	0.00	0.00	0.00	0.00	0.00	6.51	2.40	0.00	2.05	1.71	0.34	1.37	18.49	2.40	14.73	2.74	6.16	6.16	0.00	1.37	0.34	1.03	0.00	0.00	1.37	0.00	1.03	0.00	0.34	0.00	5.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.82	0.00	0.00
40.txt	1	111	3.98	60.66	65.70	25.77	111.00	8.11	91.89	57.66	29.73	14.41	9.91	0.00	1.80	0.00	2.70	15.32	3.60	6.31	7.21	6.31	9.91	1.80	18.92	1.80	1.80	3.60	1.80	3.60	2.70	0.90	0.90	0.00	0.00	0.00	15.32	0.00	0.00	0.00	0.00	10.81	0.90	3.60	0.00	3.60	0.00	2.70	7.21	1.80	0.90	0.00	0.90	0.90	0.00	0.00	0.00	6.31	2.70	1.80	1.80	3.60	0.00	8.11	14.41	0.90	9.91	1.80	2.70	5.41	0.00	1.80	0.00	0.90	0.00	0.00	0.90	0.00	0.90	0.00	0.00	0.00	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.00	5.41	0.00	0.90
6.txt	1	65	3.37	26.92	53.59	95.12	65.00	9.23	93.85	55.38	24.62	10.77	9.23	1.54	0.00	0.00	0.00	13.85	4.62	7.69	13.85	7.69	12.31	0.00	27.69	3.08	0.00	3.08	1.54	0.00	4.62	4.62	0.00	0.00	0.00	0.00	3.08	0.00	0.00	0.00	0.00	10.77	0.00	1.54	0.00	7.69	0.00	1.54	4.62	3.08	0.00	0.00	7.69	4.62	1.54	0.00	1.54	15.38	1.54	4.62	0.00	9.23	0.00	9.23	16.92	6.15	10.77	1.54	0.00	9.23	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.77	0.00	0.00
54.txt	1	108	34.90	67.82	33.94	99.00	108.00	7.41	88.89	53.70	13.89	7.41	2.78	2.78	0.93	0.00	0.93	6.48	5.56	12.96	10.19	11.11	9.26	0.00	16.67	13.89	4.63	0.93	6.48	2.78	7.41	7.41	0.00	0.00	0.00	0.00	7.41	0.00	0.00	0.00	0.00	7.41	0.00	0.93	0.93	2.78	0.00	3.70	7.41	5.56	0.00	0.93	0.93	0.00	0.00	0.00	0.00	10.19	3.70	0.00	5.56	0.93	0.00	3.70	12.04	0.93	12.96	2.78	8.33	1.85	0.00	0.00	0.00	0.93	0.00	0.00	2.78	0.00	0.00	1.85	0.93	0.00	4.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.63	0.00	0.00
141.txt	1	198	8.87	4.80	87.07	98.27	198.00	7.07	87.88	62.12	24.75	11.11	10.10	0.51	0.00	0.00	0.51	13.64	4.55	9.60	9.60	8.59	8.59	2.02	18.69	4.55	4.55	0.51	1.52	1.52	6.06	5.56	0.00	0.00	0.00	0.00	3.03	0.00	0.51	0.00	0.51	16.67	3.54	0.51	1.52	2.02	1.01	8.08	4.55	2.53	0.00	2.02	3.54	1.52	0.00	0.00	0.51	2.53	2.02	0.51	0.00	0.00	0.00	2.53	14.65	0.00	7.58	1.52	2.53	3.54	0.00	0.51	0.00	0.51	0.00	0.00	1.01	0.00	0.00	0.00	1.01	0.00	4.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00
